Enrichment,GH,Active_Rate,Hits,Actives,filename,fbase,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,receptor,hyd,don,acc,ani,cat,aro,donhyd,catdon,hydaro,aniacc,donacc,features,s_score,hyd_prop,don_prop,acc_prop,ani_prop,cat_prop,aro_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
0,0,0,1,0,3194.ph4,3194,15.289035,0.89085352,6.9601665,39.238785,26.82707,33.463615,D2,2,1,1,0,0,0,0,1,0,0,0,5,-1.1202543,0.4,0.2,0.2,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2530.ph4,2530,15.292998,2.0666521,9.0587435,41.999805,26.804802,32.052849,D2,1,0,0,0,0,0,0,3,0,1,0,5,-2.2021575,0.2,0,0,0,0,0,0,0.6,0,0.2,0,Not Quality
NaN,NaN,NaN,0,0,502.ph4,502,15.297669,1.1672708,6.9467573,38.837296,26.82707,35.853825,D2,0,2,3,0,0,0,0,0,0,0,0,5,-0.81538463,0,0.4,0.6,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3667.ph4,3667,15.318942,1.7609435,8.756669,45.274994,30.520012,35.985085,D2,2,0,1,0,0,0,0,0,0,2,0,5,-0.45461684,0.4,0,0.2,0,0,0,0,0,0,0.4,0,Not Quality
NaN,NaN,NaN,0,0,4794.ph4,4794,15.319659,1.3352745,11.210665,43.379494,31.456875,38.501537,D2,1,0,0,0,0,0,0,2,0,1,1,5,-2.0856125,0.2,0,0,0,0,0,0,0.4,0,0.2,0.2,Not Quality
NaN,NaN,NaN,0,0,2935.ph4,2935,15.33286,2.2023163,7.8258505,38.696423,25.204935,32.450909,D2,1,0,0,0,0,0,0,0,1,2,1,5,-0.86250001,0.2,0,0,0,0,0,0,0,0.2,0.4,0.2,Not Quality
0,0,0,2,0,155.ph4,155,15.337383,1.5315462,9.0600519,44.065319,29.643585,35.596375,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.17142858,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4908.ph4,4908,15.341151,1.7226125,7.7475543,43.379494,30.028515,34.413727,D2,2,1,0,0,0,0,0,0,0,1,1,5,-1.9555556,0.4,0.2,0,0,0,0,0,0,0,0.2,0.2,Not Quality
NaN,NaN,NaN,0,0,1528.ph4,1528,15.360509,2.3783913,9.5646172,42.019684,29.538279,35.514603,D2,3,0,1,0,0,0,0,1,0,0,0,5,-2.0168257,0.6,0,0.2,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,467.ph4,467,15.373061,0.87045163,7.3600321,38.055576,24.915276,31.06942,D2,3,0,1,0,0,0,0,1,0,0,0,5,-0.42941177,0.6,0,0.2,0,0,0,0,0.2,0,0,0,Not Quality
0,0,0,1,0,4760.ph4,4760,15.377357,3.9294803,10.175437,44.065319,29.646276,37.923523,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.15625,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,1,0,474.ph4,474,15.379692,1.4625084,9.1432667,42.858444,29.998629,36.411091,D2,2,1,1,0,0,0,0,1,0,0,0,5,-0.86796498,0.4,0.2,0.2,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3401.ph4,3401,15.387413,1.1738203,7.2225428,37.918499,25.204935,32.904831,D2,1,0,0,0,0,0,0,2,0,0,2,5,-3.6508896,0.2,0,0,0,0,0,0,0.4,0,0,0.4,Not Quality
0,0,0,1,0,81.ph4,81,15.389414,2.1838832,7.5909758,41.719158,28.751278,36.670799,D2,3,0,2,0,0,0,0,0,0,0,0,5,-0.33571428,0.6,0,0.4,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2430.ph4,2430,15.393827,2.2125528,8.1990547,41.999805,26.82707,33.969482,D2,1,1,3,0,0,0,0,0,0,0,0,5,-0.5777778,0.2,0.2,0.6,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4507.ph4,4507,15.424368,1.4625084,8.585371,42.858444,32.446579,37.716175,D2,3,0,0,0,0,0,0,1,0,0,1,5,-0.83544308,0.6,0,0,0,0,0,0,0.2,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,1008.ph4,1008,15.439837,2.2364824,7.682765,40.550541,29.324673,36.200497,D2,0,2,2,0,0,0,0,0,0,1,0,5,-1.1461538,0,0.4,0.4,0,0,0,0,0,0,0.2,0,Not Quality
