Receptor,Score Type,Hits,Enrichment,search_features,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT2C,dE,-99999,0,6,13.754385,1.6345235,5.9744697,9.3874969,2.4649596,4.5810642,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0,0
5HT2C,dE,-99999,0,7,13.754385,1.6345235,5.9744697,9.3874969,2.4649596,4.5810642,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0,0
5HT2C,dU(class),497,0.918557859,3,11.360661,0.11567102,6.8001318,8.9795074,3.6345336,6.2473388,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,0
5HT2C,dU(class),186,0.924856214,4,11.360661,0.11567102,6.8001318,8.9795074,3.6345336,6.2473388,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,0
5HT2C,dU(class),14,0.472591362,5,11.360661,0.11567102,6.8001318,8.9795074,3.6345336,6.2473388,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,0
5HT2C,dU(class),-99999,0,6,11.360661,0.11567102,6.8001318,8.9795074,3.6345336,6.2473388,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,0
5HT2C,dU(class),-99999,0,7,11.360661,0.11567102,6.8001318,8.9795074,3.6345336,6.2473388,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,0
5HT2C,dU,18,0.735142119,3,5.6438432,0.92898899,3.0367813,4.8750286,1.7678758,3.4752147,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dU,3,0,4,5.6438432,0.92898899,3.0367813,4.8750286,1.7678758,3.4752147,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dU,-99999,0,5,5.6438432,0.92898899,3.0367813,4.8750286,1.7678758,3.4752147,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
