Receptor,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
A2A,dU(class),-0.1,4,0,15.202851,0.60035491,7.2541046,10.440987,4.6175466,7.0126281,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
A2A,dU,-3.64401,-99999,0,15.142334,2.4598196,8.1388445,9.5688038,3.7017713,5.6828995,1,1,2,0,3,0,0,0,7,0,0.142857143,0.142857143,0.285714286,0,0.428571429,0,0,0,0
A2C,dE(class),-0.293333,5,3.55625,7.3774862,1.4958816,3.8868775,5.1591616,1.9562446,3.4169781,6,0,0,0,0,0,0,1,7,0,0.857142857,0,0,0,0,0,0,0.142857143,1
A2C,dE,-4.06185,-99999,0,11.661752,1.4529815,7.4813633,8.6702757,2.6831472,5.5320263,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
A2C,dU(class),-0.106667,7,2.540178571,7.4049954,1.4227613,3.8284099,5.2109952,1.9562446,3.3868263,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
A2C,dU,-4.0819,-99999,0,3.1845138,0.12028716,1.5325404,3.3259103,2.5632486,3.0007861,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,dE(class),-2.63231,-99999,0,17.758074,1.1475755,10.45977,9.4673042,6.4577665,8.2319107,2,1,2,0,1,0,0,1,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0,0,0.142857143,0
Beta 2,dE,-4.73053,-99999,0,15.323845,0.62019795,9.4857531,9.7632265,4.7672119,7.5285616,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,dU(class),-2.90427,-99999,0,16.85998,2.413944,8.3562794,9.4673042,7.111032,8.5871878,2,1,2,0,1,0,0,1,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0,0,0.142857143,0
Beta 2,dU,-4.47928,-99999,0,3.0561514,0.53284705,1.6686671,9.7632265,8.2620916,9.1006403,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
