,clusters,clusters
58441,3,0.9750068971006584
33945,0,-1.1089216578594656
10295,0,-1.1089216578594656
33888,0,-1.1089216578594656
12124,0,-1.1089216578594656
63502,0,-1.1089216578594656
100166,0,-1.1089216578594656
83584,3,0.9750068971006584
63458,0,-1.1089216578594656
30628,0,-1.1089216578594656
85123,3,0.9750068971006584
79566,0,-1.1089216578594656
57013,3,0.9750068971006584
9011,3,0.9750068971006584
59260,3,0.9750068971006584
23792,3,0.9750068971006584
40709,3,0.9750068971006584
87648,3,0.9750068971006584
111236,3,0.9750068971006584
102203,3,0.9750068971006584
78702,0,-1.1089216578594656
15268,0,-1.1089216578594656
37865,0,-1.1089216578594656
89184,3,0.9750068971006584
10812,3,0.9750068971006584
87740,3,0.9750068971006584
73567,3,0.9750068971006584
102371,0,-1.1089216578594656
86059,3,0.9750068971006584
52248,0,-1.1089216578594656
23069,3,0.9750068971006584
89150,3,0.9750068971006584
26874,3,0.9750068971006584
55232,3,0.9750068971006584
97909,3,0.9750068971006584
85125,3,0.9750068971006584
26847,3,0.9750068971006584
86822,3,0.9750068971006584
114644,0,-1.1089216578594656
42459,0,-1.1089216578594656
67762,0,-1.1089216578594656
92356,0,-1.1089216578594656
56157,3,0.9750068971006584
24063,3,0.9750068971006584
83761,3,0.9750068971006584
96918,3,0.9750068971006584
84189,2,0.28036404544728366
77137,3,0.9750068971006584
108108,0,-1.1089216578594656
57271,3,0.9750068971006584
1370,3,0.9750068971006584
97201,3,0.9750068971006584
51743,0,-1.1089216578594656
86361,3,0.9750068971006584
113936,3,0.9750068971006584
36444,0,-1.1089216578594656
87784,3,0.9750068971006584
16440,0,-1.1089216578594656
111974,1,-0.41427880620609103
87191,3,0.9750068971006584
1636,3,0.9750068971006584
24459,3,0.9750068971006584
21335,0,-1.1089216578594656
65228,0,-1.1089216578594656
113689,3,0.9750068971006584
28888,3,0.9750068971006584
107247,3,0.9750068971006584
27413,0,-1.1089216578594656
84806,1,-0.41427880620609103
9362,0,-1.1089216578594656
87696,3,0.9750068971006584
87985,0,-1.1089216578594656
114443,3,0.9750068971006584
74568,3,0.9750068971006584
105208,2,0.28036404544728366
104052,3,0.9750068971006584
60844,3,0.9750068971006584
7774,0,-1.1089216578594656
65489,0,-1.1089216578594656
58648,3,0.9750068971006584
104370,3,0.9750068971006584
59810,3,0.9750068971006584
89924,3,0.9750068971006584
91444,0,-1.1089216578594656
674,3,0.9750068971006584
78007,3,0.9750068971006584
38186,0,-1.1089216578594656
25146,3,0.9750068971006584
99451,0,-1.1089216578594656
89154,3,0.9750068971006584
52090,0,-1.1089216578594656
99163,0,-1.1089216578594656
114559,0,-1.1089216578594656
90912,0,-1.1089216578594656
105043,3,0.9750068971006584
34086,0,-1.1089216578594656
61928,3,0.9750068971006584
48613,0,-1.1089216578594656
16884,0,-1.1089216578594656
67358,0,-1.1089216578594656
24383,3,0.9750068971006584
7170,0,-1.1089216578594656
10508,0,-1.1089216578594656
39845,3,0.9750068971006584
87596,3,0.9750068971006584
91656,0,-1.1089216578594656
25064,3,0.9750068971006584
107542,0,-1.1089216578594656
105224,3,0.9750068971006584
63357,3,0.9750068971006584
90294,3,0.9750068971006584
84097,3,0.9750068971006584
23059,3,0.9750068971006584
29656,3,0.9750068971006584
104900,2,0.28036404544728366
77181,3,0.9750068971006584
105000,1,-0.41427880620609103
62968,3,0.9750068971006584
59657,0,-1.1089216578594656
26022,3,0.9750068971006584
6273,0,-1.1089216578594656
26401,3,0.9750068971006584
53224,0,-1.1089216578594656
24837,3,0.9750068971006584
46639,0,-1.1089216578594656
35618,0,-1.1089216578594656
78335,3,0.9750068971006584
