,PC1_2d,PC2_2d
55662,1.1809659198393105,0.9877642946437257
90221,1.484705637898501,0.14286983964196173
92018,1.7744920260949668,0.0468483443596104
113505,-0.3363184975693367,3.6824654149471243
64093,0.8345728102478691,-0.40342719316094666
107592,-0.16599702667703053,0.8542792459715288
57871,-1.5298791785937595,-0.3463230193420409
29929,2.8824894268589523,-0.6616347731394986
85084,-2.9918271806036234,0.2898552629227599
86606,-0.2286007264102483,0.5958073551755768
113054,-2.369226331191891,2.6371118357978407
36412,1.4824875408314047,-1.2531008995262325
31334,0.7043954782889869,-2.5059393831529833
110984,-3.5502475520854038,2.297620101581204
60305,-1.250897688463271,-0.30849386647008664
86595,-2.088126485915531,0.17319715302786348
86534,-2.1114509501011107,-0.09978832405150485
1012,-0.06084611717197151,0.11078099307516798
33332,0.5269978219826947,-0.9097484068834658
28036,0.2930909004639951,-0.9600077518629553
56238,-1.3782916796665639,0.1817413569186911
48734,-0.4902408644235816,-1.3122454576753841
79345,-0.2844042862626091,-0.22393739768491874
99846,1.1271415118078587,1.1901236056331819
94370,1.1888852543363833,0.9045057392280088
97840,-1.4475313360689162,0.40987622097510584
97012,-1.237457738997429,0.7234981221785994
85699,-2.664996097509389,0.5091388116042512
109702,1.370949491928078,1.9415871609483422
25361,-0.5846465902871663,-0.7052734972836466
106146,-1.1892328226236513,0.5283776389516224
108578,0.38517652897345556,1.012868133729359
83576,-2.9748080473787057,-0.03643977692608912
26803,0.30338240331816746,-0.8204223676671789
88727,-0.648405156328429,-0.00511313150662259
110291,3.3091965895432884,2.567799198593528
54354,2.3164508614765844,0.7253120170950034
5929,2.177351227452191,0.1739149145568633
114576,-2.002158650754489,3.0179363895793743
78029,1.0888854300103352,0.7432546513840883
45582,0.5781118931825354,-0.6894854974262091
75528,-1.17701291097261,-0.7238967601320883
86520,-1.0358703554606188,-0.7249642350544094
2656,-0.3501353290257859,-2.9178666444262444
99478,0.24296387137457157,0.39498492079850606
102401,-0.591223411106214,0.9368744716247829
23450,-2.921708293619705,-0.646854643284177
104123,-3.544186358566998,0.7379628655981184
11839,2.865753826751597,0.41105844674112224
67256,1.8882377188043533,-0.1050302247732266
106352,-0.43004283194523496,1.4094668775085313
56209,-1.321690865351584,0.28732538947984404
104767,-2.857285849967677,0.4059644168060089
88379,1.383160252447152,0.47571997330396704
88763,-0.3776124061285109,0.42016640065977184
48378,1.8005411109467104,-1.0667773365303652
105355,-2.0020164961921356,-0.18276416627179543
86063,-2.138708639335906,0.10588392481906655
63007,2.218917013917014,0.45488593203207595
33789,2.3033016072953303,0.29220992590659356
27058,-0.2376551533220588,-1.8350337140099888
76650,-1.0909886552356376,-0.13081798069757908
72634,-2.7071035815579365,-0.36881002371907795
105755,-1.2501619316399022,0.9731709105578167
94286,1.5892778721166778,1.064098864952443
104797,-3.6929388154389478,0.9834389318725536
104200,-3.2080731550552026,-0.7521237941846207
104277,-3.7638202039486974,0.5313556861674607
108380,2.237801666756425,2.002714686490355
53853,2.857739346685395,0.22778470941969065
