,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
7682,2,9.572170300000002,6.8547959,5.7951517,3.5416472000000003,4.8062329,5,0,-3.3,0.0,0.4,0.0,0.0,0.0,0
89667,8,12.053684,7.2129712,8.6214104,7.0866585,7.6459527000000005,5,0,-2.089725,0.6,0.0,0.0,0.0,0.0,0
8281,0,9.9139576,5.773057499999999,14.442578,9.0052128,10.349524,5,0,-0.96249998,0.0,0.0,0.0,0.0,0.8,2
90801,8,13.137265,7.6245489,11.203719,8.7742605,9.7264042,5,0,-0.11666667,0.6,0.0,0.0,0.0,0.0,2
64244,2,13.072927,7.6144829,12.184134,10.066068,11.106444,5,0,-0.57999998,0.4,0.0,0.0,0.0,0.0,2
2001,8,4.6323562,3.4617913000000002,7.6616520999999995,5.4718347000000005,6.440980000000001,5,0,-0.86666667,0.0,0.2,0.0,0.0,0.0,0
90887,4,13.226447,8.2780485,10.641755999999999,7.778137200000001,8.7030497,5,0,-1.5037006000000002,0.6,0.0,0.2,0.0,0.0,2
101317,0,7.2435179000000005,5.64113,4.1509203999999995,3.4661714999999997,3.8197918,4,0,-0.21666667,0.75,0.0,0.0,0.0,0.0,0
85638,14,8.1372595,5.3346405,5.222856,0.96322221,3.6163552000000005,5,0,-1.7928988999999997,0.6,0.2,0.0,0.0,0.0,0
55145,79,5.0851622,3.8483655,8.329743400000002,3.3726883,6.3002219,5,0,-1.3,0.4,0.2,0.0,0.0,0.0,1
104730,7,6.8356414,3.5733167999999997,4.9057379,2.1713424,3.3439574,5,0,-0.27058825,0.8,0.0,0.0,0.0,0.0,0
25698,0,8.9895172,6.0327802,5.0925112,2.724519,3.9913766,5,0,-0.86000001,0.2,0.4,0.0,0.0,0.2,0
16414,0,14.538006,8.245451,12.931027,2.9244027000000004,7.972740700000001,4,0,-0.25714287,0.0,0.0,0.0,0.25,0.0,2
