,clusters,clusters
112369,3,2.7588929050575617
111322,3,2.7588929050575617
85786,3,2.7588929050575617
104701,0,-0.8049414009840504
90709,0,-0.8049414009840504
36148,1,0.3830033676964871
60469,0,-0.8049414009840504
17351,1,0.3830033676964871
106652,0,-0.8049414009840504
91468,0,-0.8049414009840504
114794,0,-0.8049414009840504
29654,1,0.3830033676964871
33487,1,0.3830033676964871
25036,0,-0.8049414009840504
7751,1,0.3830033676964871
10644,1,0.3830033676964871
14062,1,0.3830033676964871
15932,0,-0.8049414009840504
38985,1,0.3830033676964871
87158,0,-0.8049414009840504
86140,0,-0.8049414009840504
86542,0,-0.8049414009840504
40300,1,0.3830033676964871
42788,1,0.3830033676964871
107882,1,0.3830033676964871
67804,1,0.3830033676964871
40106,1,0.3830033676964871
99527,1,0.3830033676964871
35943,1,0.3830033676964871
80441,0,-0.8049414009840504
63900,1,0.3830033676964871
70804,1,0.3830033676964871
109015,0,-0.8049414009840504
39605,1,0.3830033676964871
66710,1,0.3830033676964871
91811,0,-0.8049414009840504
105164,2,1.5709481363770244
90661,0,-0.8049414009840504
110998,1,0.3830033676964871
90744,0,-0.8049414009840504
104587,3,2.7588929050575617
104209,3,2.7588929050575617
3514,1,0.3830033676964871
84798,0,-0.8049414009840504
56172,3,2.7588929050575617
80781,1,0.3830033676964871
55051,0,-0.8049414009840504
76036,1,0.3830033676964871
7658,1,0.3830033676964871
59950,0,-0.8049414009840504
106933,0,-0.8049414009840504
88658,0,-0.8049414009840504
45620,1,0.3830033676964871
59400,1,0.3830033676964871
15762,0,-0.8049414009840504
64561,1,0.3830033676964871
20637,1,0.3830033676964871
28134,0,-0.8049414009840504
22839,0,-0.8049414009840504
79013,1,0.3830033676964871
11088,1,0.3830033676964871
58019,0,-0.8049414009840504
56512,0,-0.8049414009840504
26533,0,-0.8049414009840504
85765,3,2.7588929050575617
5554,1,0.3830033676964871
52864,1,0.3830033676964871
66246,0,-0.8049414009840504
30391,0,-0.8049414009840504
24167,0,-0.8049414009840504
57364,0,-0.8049414009840504
31240,1,0.3830033676964871
87362,0,-0.8049414009840504
60509,0,-0.8049414009840504
62093,0,-0.8049414009840504
86312,0,-0.8049414009840504
28972,1,0.3830033676964871
94427,0,-0.8049414009840504
84131,0,-0.8049414009840504
87488,0,-0.8049414009840504
111514,3,2.7588929050575617
91008,0,-0.8049414009840504
104189,3,2.7588929050575617
56109,0,-0.8049414009840504
110464,1,0.3830033676964871
3376,0,-0.8049414009840504
66768,1,0.3830033676964871
104945,3,2.7588929050575617
2663,1,0.3830033676964871
17952,1,0.3830033676964871
