Receptor,Score Type,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
A2C,dU(class),7,2.54,7.4049954,1.1825762,3.7679513,5.2109952,1.5302311,3.2058234,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
A2C,dU,16,4.45,4.3366752,0.59553295,2.3963678,3.4840357,2.2957857,2.9344938,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Beta 2,dE(class),5,10.59,17.837337,2.7120407,8.7329845,10.064498,4.0576906,6.900806,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,1
Beta 2,dE,11,1.2,14.832417,1.957142,8.9760923,9.3543472,4.0576906,6.7134852,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Beta 2,dU(class),59,1.57,16.650761,1.166077,6.8771758,9.3597488,6.8909693,7.967082,2,1,2,0,1,1,0,0,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0.142857143,0,0,1
Beta 2,dU,-99999,0,3.5821753,0.63754684,1.8116419,9.7632265,7.7819943,8.9769268,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,dE(class),567,1,6.3716474,1.1668242,2.8200796,7.8244381,5.3252153,6.4776225,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,1
H1,dE,17,0.66,12.157955,0.93415672,7.589664,7.4751987,4.9227901,6.4836864,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0.857142857,0,0.142857143,0,1
H1,dU(class),563,1.01,11.866706,1.1679881,7.472609,8.2246542,5.3701162,6.6177397,4,1,0,0,1,1,0,0,7,0,0.571428571,0.142857143,0,0,0.142857143,0.142857143,0,0,1
H1,dU,24,0.93,12.780952,1.5277922,6.5867801,6.6282868,4.6312828,5.774621,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0.571428571,0,0.428571429,0,1
M1,dE(class),4,2.06,16.527851,1.1651175,8.9102068,9.0921793,3.4673228,6.5070853,3,1,1,0,0,2,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0,0.285714286,0,0,1
M1,dE,3,2.75,10.048433,0.70240599,6.1978273,9.1159611,5.8341041,7.0303326,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,1
M1,dU(class),16,2.06,15.070384,1.5312704,8.3672552,8.721159,3.4673228,6.9742999,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,1
M1,dU,19,0.43,5.8434424,0.56070399,3.9136176,9.5140934,6.403563,7.9552765,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
M2,dE(class),27,1.19,10.081008,0.091954507,5.3296332,9.5138502,2.6983023,7.4320331,0,1,4,0,0,1,1,0,7,0,0,0.142857143,0.571428571,0,0,0.142857143,0.142857143,0,1
M2,dE,29,1.48,15.705109,0.15925643,6.8711619,9.2825623,2.6983023,5.2841978,0,4,2,0,0,1,0,0,7,0,0,0.571428571,0.285714286,0,0,0.142857143,0,0,1
M2,dU(class),8,4.03,11.204031,0.1424313,6.103271,7.757431,2.4160342,5.5475125,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
M2,dU,-99999,0,16.800999,0.78623027,9.7812634,10.245285,6.1614728,8.2734385,0,0,0,0,2,0,5,0,7,0,0,0,0,0,0.285714286,0,0.714285714,0,0
M4,dE(class),5,3.99,12.773146,1.0822611,7.4644046,9.0111437,3.9042709,6.1012344,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,1
M4,dE,561,0.96,15.359131,1.3907092,7.6025276,9.7346087,5.0179338,7.1698093,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,1
M4,dU(class),2,4.99,15.036624,1.1693492,8.0140839,8.9300785,3.1334169,5.8112473,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
M4,dU,-99999,0,9.5245247,0.65968722,4.8972688,9.7710333,7.7819438,8.9978781,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRD,dE(class),529,1.075614367,9.4315252,0.75621164,4.4819326,7.8259101,4.9590192,6.0777998,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,1
OPRD,dE,193,1.058323369,11.451571,1.1672163,6.1839066,7.3901858,4.7553058,5.8689752,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,1
OPRD,dU(class),36,1.215811966,5.4791379,1.339862,3.7455769,7.8259101,3.61043,5.5548768,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,1
OPRD,dU,39,0.374095989,13.652857,1.5954263,7.4811964,8.0913458,4.944119,6.4539795,1,0,0,0,3,0,3,0,7,0,0.142857143,0,0,0,0.428571429,0,0.428571429,0,1
OPRK,dE(class),34,2.988445378,11.605652,1.1183617,5.2936969,9.3384333,5.808115,7.966239,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,1
OPRK,dE,1,10.16071429,13.145735,1.3052363,8.711628,9.1865635,4.0604091,7.3372054,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,0
OPRK,dU(class),424,1.294053235,16.991034,1.8162538,9.4123955,9.7464895,4.8855443,7.9757457,3,0,1,0,1,1,0,1,7,0,0.428571429,0,0.142857143,0,0.142857143,0.142857143,0,0.142857143,1
OPRK,dU,12,0.84672619,6.0151463,0.56696558,2.9937885,9.1865635,6.9080129,7.8282127,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
OPRM,dE(class),554,1.027075812,6.2632308,0.77097988,4.0917931,5.4519372,2.4798608,3.8557076,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
OPRM,dE,79,0.543587294,11.773111,0.55587226,4.7066236,7.2324171,3.5477998,4.5780721,1,1,0,0,5,0,0,0,7,0,0.142857143,0.142857143,0,0,0.714285714,0,0,0,1
OPRM,dU(class),544,1.026220866,7.5264053,1.1091303,4.4118433,5.4519372,2.7437243,4.1624064,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,1
OPRM,dU,-99999,0,11.185822,0.51705027,6.9214067,7.7132754,3.6711664,5.639514,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0.428571429,0,0.571428571,0,0
5HT1B,dE(class),61,2.87,14.777997,1.1645132,7.9017963,10.749083,5.0763645,8.527544,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
5HT1B,dE,26,2.02,17.045998,1.1645132,11.312482,10.601196,5.3994145,8.8649368,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,1
5HT1B,dU(class),343,1.07,17.448446,0.88897359,9.0486498,10.749083,5.6096787,7.8808203,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
5HT1B,dU,3,2.92,8.2198868,1.2708509,4.2462835,9.0561609,6.1781516,7.9938798,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT2B,dE(class),543,1.04,11.533735,1.1689938,5.7200589,7.7865977,3.9519479,6.4088774,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,1
5HT2B,dE,531,1,12.564578,1.0023826,5.9473701,8.602169,4.674387,6.6105814,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,1
5HT2B,dU(class),3,2.21,14.334533,1.4122893,8.0676184,7.7865977,3.9519479,5.8723021,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
5HT2B,dU,21,0.63,11.522468,1.6147522,6.2385011,9.3196011,4.3206029,7.1799159,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
5HT2C,dE(class),2,3.31,11.495595,1.4378891,5.3473272,8.079381,2.8838477,4.679296,3,2,1,0,1,0,0,0,7,0,0.428571429,0.285714286,0.142857143,0,0.142857143,0,0,0,0
5HT2C,dE,528,0.99,13.754385,1.0472271,5.6887755,9.3874969,2.2861462,4.5699325,0,1,0,0,4,2,0,0,7,0,0,0.142857143,0,0,0.571428571,0.285714286,0,0,1
5HT2C,dU(class),561,1.01,11.444683,0.55258757,6.6236386,8.079381,4.0991793,6.2249508,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,1
5HT2C,dU,13,1.02,5.6438432,1.1392862,3.1542819,4.7140489,1.7678758,3.2753875,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
A2A,dE(class),22,1.78,10.111151,1.2674928,6.3031507,6.1245971,3.827318,5.1489506,2,0,2,0,0,1,0,2,7,0,0.285714286,0,0.285714286,0,0,0.142857143,0,0.285714286,1
A2A,dE,568,1,10.898169,1.9478753,5.6003246,7.1928763,2.0663736,4.6612744,1,0,2,0,1,3,0,0,7,0,0.142857143,0,0.285714286,0,0.142857143,0.428571429,0,0,1
A2A,dU(class),20,0.98,15.202851,0.60035491,7.4941158,10.440987,3.9074731,6.5196357,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
A2A,dU,113,0.52,15.200411,0.97112304,8.0181236,10.08287,3.9074731,6.0261416,0,1,1,0,3,0,0,2,7,0,0,0.142857143,0.142857143,0,0.428571429,0,0,0.285714286,1
A2C,dE(class),19,2.81,7.9637055,1.1672884,4.3022857,8.6265497,1.9562446,5.443491,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
A2C,dE,57,2.18,11.661752,1.0223062,7.8594642,8.7283621,2.6831472,5.9740396,1,0,0,0,5,0,0,1,7,0,0.142857143,0,0,0,0.714285714,0,0,0.142857143,1
A2C,dU(class),6,2.96,12.972508,1.5307946,5.6155124,8.7283621,1.9562446,4.234128,6,0,0,0,0,0,0,1,7,0,0.857142857,0,0,0,0,0,0,0.142857143,1
A2C,dU,19,3.74,11.17331,0.1232028,6.5134401,8.2962284,2.361326,5.0247469,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Beta 2,dE(class),64,4.55,18.741371,1.1475755,10.271137,10.064498,4.9861307,7.6004906,3,1,1,0,0,0,0,2,7,0,0.428571429,0.142857143,0.142857143,0,0,0,0,0.285714286,1
Beta 2,dE,10,1.32,15.323845,0.62019795,9.4857531,9.7632265,4.7672119,7.5285616,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Beta 2,dU(class),170,2.34,16.85998,1.3378184,7.8859081,9.4673042,7.111032,8.4720306,2,2,2,0,0,0,0,1,7,0,0.285714286,0.285714286,0.285714286,0,0,0,0,0.142857143,1
Beta 2,dU,-99999,0,3.5821753,0.53284705,1.8472801,9.7632265,7.7819943,8.9440165,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,dE(class),567,1,6.3716474,1.1668242,3.0616755,7.8244381,4.3968668,6.2503662,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,1
H1,dE,18,0.662,13.24171,1.0881802,8.4947538,7.6107655,5.8287435,6.7350154,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
H1,dU(class),543,0.95,12.313594,1.5434422,8.0328846,7.5276074,5.0162477,5.9866614,4,2,1,0,0,0,0,0,7,0,0.571428571,0.285714286,0.142857143,0,0,0,0,0,1
H1,dU,11,1.01,11.210562,1.6187122,6.1845651,8.1534681,5.8066292,6.7937779,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
M1,dE(class),5,4.95,15.21464,1.5312704,9.8374758,8.721159,3.4673228,7.0555687,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,1
M1,dE,3,2.75,10.097594,0.70240599,6.2093716,9.1159611,5.8341041,7.0362029,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,1
M1,dU(class),10,4.12,13.968588,1.5312704,8.3755693,8.7682724,3.4673228,6.6396818,5,0,1,0,0,0,0,1,7,0,0.714285714,0,0.142857143,0,0,0,0,0.142857143,1
M1,dU,19,0.43,5.8434424,0.56070399,3.9136176,9.5140934,6.403563,7.9552765,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
M2,dE(class),54,0.99,10.327492,0.092528112,6.1438823,9.5216246,2.6983023,6.5018358,0,3,4,0,0,0,0,0,7,0,0,0.428571429,0.571428571,0,0,0,0,0,1
M2,dE,1,10.74,16.428482,0.15925643,6.4405904,9.6859398,2.6983023,5.0900803,0,4,1,0,0,2,0,0,7,0,0,0.571428571,0.142857143,0,0,0.285714286,0,0,0
M2,dU(class),10,4.29,11.568931,1.6943507,6.4174981,7.757431,2.4160342,5.8807569,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
M2,dU,19,1.13,5.9936423,0.540075,3.0887859,9.010787,4.4286828,6.8876829,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
M4,dE(class),10,2,11.474065,0.73048931,6.071701,8.1142197,3.9042709,5.4245868,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,1
M4,dE,561,0.96,15.359131,1.3907092,7.6025276,9.7346087,5.0179338,7.1698093,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,1
M4,dU(class),57,4.99,15.036624,1.1693492,8.0140839,8.9300785,3.1334169,5.8112473,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
M4,dU,-99999,0,9.5245247,0.87619948,5.5384297,9.7346087,7.7819438,8.7554274,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRD,dE(class),525,1.06,5.7086854,0.75621164,3.1831779,7.8259101,4.9590192,6.2595577,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,1
OPRD,dE,66,1.33,11.451571,1.1513683,6.4403315,7.3848462,4.7553058,5.733695,3,1,0,0,2,1,0,0,7,0,0.428571429,0.142857143,0,0,0.285714286,0.142857143,0,0,1
OPRD,dU(class),3,9.73,6.1818871,1.339862,3.6666405,7.8259101,3.61043,5.3544869,3,1,0,0,0,1,0,2,7,0,0.428571429,0.142857143,0,0,0,0.142857143,0,0.285714286,1
OPRD,dU,358,1.26,4.3814712,1.091728,2.4352429,7.4313354,4.7553058,6.2018924,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,1
OPRK,dE(class),20,2.54,6.930687,1.1183617,4.2815633,9.3384333,5.808115,7.5769324,3,2,1,0,0,1,0,0,7,0,0.428571429,0.285714286,0.142857143,0,0,0.142857143,0,0,1
OPRK,dE,17,2.39,18.851009,1.7228479,9.8291712,10.534269,3.939713,7.5068417,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,1
OPRK,dU(class),529,1.06,16.306683,1.8162538,10.638532,9.2171097,4.8855443,7.9377465,4,0,1,0,1,0,0,1,7,0,0.571428571,0,0.142857143,0,0.142857143,0,0,0.142857143,1
OPRK,dU,45,0.68,7.3403029,1.6276981,4.027823,9.1865635,6.0771585,7.540319,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
OPRM,dE(class),251,1.54,10.904189,0.77097988,4.9906063,7.7149844,2.5739269,4.4123244,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
OPRM,dE,509,1.1,11.77015,0.55587226,5.1787043,7.2324171,3.5874903,4.6813912,2,1,0,0,4,0,0,0,7,0,0.285714286,0.142857143,0,0,0.571428571,0,0,0,1
OPRM,dU(class),558,1.02,7.5264053,1.1091303,4.1441598,5.4519372,1.7050276,3.9711382,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
OPRM,dU,44,0.24,6.4195795,0.714091,3.5076087,4.9511218,3.5874903,4.4426904,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT1B,dE(class),170,1.853755656,14.777997,1.4728123,8.958395,10.749083,5.0763645,7.904839,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT1B,dE,39,2.020118343,16.394461,1.1645132,10.052477,10.601196,4.5251694,8.3221264,1,3,0,0,1,2,0,0,7,0,0.142857143,0.428571429,0,0,0.142857143,0.285714286,0,0,1
5HT1B,dU(class),125,1.190523077,17.448446,0.7509377,9.8077917,10.749083,5.5635157,8.1789465,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,dU,1,8.753846154,4.5955496,0.54174346,2.3033302,9.6243925,7.7852659,8.4230347,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
5HT2B,dE(class),3,2.205426357,11.533735,0.65266377,5.5950651,7.7865977,3.9519479,6.2629485,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,1
5HT2B,dE,267,0.644281857,15.958681,0.97689557,9.7503462,11.335112,4.6195149,7.4904723,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,0
5HT2B,dU(class),3,2.205426357,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
5HT2B,dU,14,0.472591362,4.2672906,0.7130428,2.0596275,9.0666437,7.2850819,8.2762594,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2C,dE(class),561,1.002466526,12.274061,0.92677397,6.9155111,8.6641617,3.7707212,5.9358664,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0
5HT2C,dE,3,2.205426357,7.7615848,1.0472271,3.7594984,4.9886174,2.2732315,3.6270204,0,1,0,0,4,2,0,0,7,0,0,0.142857143,0,0,0.571428571,0.285714286,0,0,1
5HT2C,dU(class),543,0.986958756,11.444683,0.13321474,5.7764959,8.079381,3.3560894,5.3478794,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,0
5HT2C,dU,74,0.715273413,5.6832442,0.20224737,3.3891847,4.9096828,2.6624832,3.9307621,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
A2A,dE(class),70,1.121182266,10.111151,1.5324885,6.5251384,6.1245971,3.827318,5.1387,3,0,2,0,0,1,0,1,7,0,0.428571429,0,0.285714286,0,0,0.142857143,0,0.142857143,0
A2A,dE,568,1.001760563,10.898169,2.6907358,5.7911673,7.1928763,2.0663736,4.6987486,3,0,2,0,0,1,0,1,7,0,0.428571429,0,0.285714286,0,0,0.142857143,0,0.142857143,0
A2A,dU(class),561,0.979285758,15.153275,1.1655952,7.6671844,10.404747,4.6175466,7.6230569,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2A,dU,3,6.540229885,7.7928762,0.87605709,4.7681007,9.8637495,3.6521754,6.3554144,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
A2C,dE(class),567,1.003527337,7.9078031,1.0460922,4.159831,8.6265497,1.5762047,4.5510964,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,dE,147,1.330569728,11.595148,1.0712175,7.6823382,8.7283621,1.8813845,5.9023485,0,1,0,0,4,1,0,1,7,0,0,0.142857143,0,0,0.571428571,0.142857143,0,0.142857143,0
A2C,dU(class),7,2.540178571,7.4049954,1.1825762,3.7679513,5.2109952,1.5302311,3.2058234,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
A2C,dU,20,3.55625,13.13256,0.74627477,7.6735892,10.533068,1.8813845,5.3694992,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Beta 2,dE(class),5,10.58604651,17.837337,2.7120407,8.7329845,10.064498,4.0576906,6.900806,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,1
Beta 2,dE,81,4.574217628,15.870665,2.4395158,8.8029575,10.369191,4.0576906,7.7215285,1,0,2,0,3,0,0,1,7,0,0.142857143,0,0.285714286,0,0.428571429,0,0,0.142857143,1
Beta 2,dU(class),325,1.099320215,15.437044,0.66412967,8.0906096,9.3597488,6.8909693,7.9228745,2,1,1,0,1,2,0,0,7,0,0.285714286,0.142857143,0.142857143,0,0.142857143,0.285714286,0,0,0
Beta 2,dU,38,0.348225214,4.6383209,0.57491392,2.095546,9.4101839,8.1397038,8.8508205,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
H1,dE(class),567,1.003527337,6.3716474,1.1668242,2.8200796,7.8244381,5.3252153,6.4776225,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,dE,499,1.073205234,10.122565,0.71503025,3.9901295,8.1258125,4.5861125,6.9808288,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
H1,dU(class),563,1.010657194,11.866706,1.1679881,7.472609,8.2246542,5.3701162,6.6177397,4,1,0,0,1,1,0,0,7,0,0.571428571,0.142857143,0,0,0.142857143,0.142857143,0,0,0
H1,dU,4,2.789215686,10.004568,0.6582849,4.0087914,8.1754122,4.5861125,7.0560002,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,1
M1,dE(class),5,4.947826087,15.21464,1.5312704,9.8374758,8.721159,3.4673228,7.0555687,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,1
M1,dE,531,0.823084691,3.3152905,0.69825387,1.9966233,7.0092931,4.1757498,5.9750485,0,3,0,0,2,2,0,0,7,0,0,0.428571429,0,0,0.285714286,0.285714286,0,0,0
M1,dU(class),16,2.061594203,15.070384,1.5312704,8.3672552,8.721159,3.4673228,6.9742999,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,1
M1,dU,-99999,0,4.8662829,0.12852801,2.7626727,8.7238283,6.04603,7.4878111,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M2,dE(class),3,10.73584906,10.727706,0.15925643,6.1530848,10.159136,2.6983023,5.5574622,1,3,2,0,0,1,0,0,7,0,0.142857143,0.428571429,0.285714286,0,0,0.142857143,0,0,1
M2,dE,1,10.73584906,16.428482,0.15925643,6.4405904,9.6859398,2.6983023,5.0900803,1,3,2,0,0,1,0,0,7,0,0.142857143,0.428571429,0.285714286,0,0,0.142857143,0,0,1
M2,dU(class),10,4.294339623,11.568931,1.6943507,6.4211202,7.757431,2.4160342,5.889257,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
M2,dU,316,0.679484118,3.8346646,0.58669281,2.080905,8.557478,5.6529856,6.8281894,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
