Receptor,Score Type,s_score,Hits,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality,EF
D2,rand,-0.34999999,0,6.0272355,2.4155583,4.2690973,36.27499,31.624243,33.797729,2,0,1,0,0,0,0,1,4,0,0.5,0,0.25,0,0,0,0,0.25,0,-999
D2,rand,-0.17777778,0,9.1171827,2.690923,6.2052054,34.520046,29.252062,32.047108,2,0,0,0,0,0,0,1,3,0,0.666666667,0,0,0,0,0,0,0.333333333,0,-999
D2,rand,-1.9700109,23,10.684261,1.4449173,6.3007717,40.464638,30.346937,35.251957,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0.68693334
D2,rand,-0.1125,0,8.303669,1.5022112,5.9651747,42.247498,35.954151,38.09808,1,0,2,0,0,0,0,0,3,0,0.333333333,0,0.666666667,0,0,0,0,0,0,-999
D2,rand,-0.55000001,0,15.273341,2.4886687,9.6579294,43.379494,29.289524,34.617039,1,0,1,0,0,1,1,0,4,0,0.25,0,0.25,0,0,0.25,0.25,0,0,-999
D2,rand,-0.27272728,1,10.640385,1.6997041,5.0645728,34.600639,26.271238,29.187717,2,0,2,0,1,0,0,0,5,0,0.4,0,0.4,0,0.2,0,0,0,0,0
D2,rand,-0.77252638,0,10.785375,1.4606341,6.370585,39.619942,31.971106,36.539806,2,0,1,0,1,0,0,0,4,0,0.5,0,0.25,0,0.25,0,0,0,0,-999
D2,rand,-1.5079268,0,6.5217233,1.4534696,3.7247655,37.234379,30.744936,33.621723,2,0,0,0,1,0,0,2,5,0,0.4,0,0,0,0.2,0,0,0.4,0,-999
D2,rand,-0.40769231,0,8.0901642,2.4567263,5.8529549,35.572239,30.252344,33.316788,0,1,1,0,0,1,0,0,3,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,-999
D2,rand,-5.1205239,0,12.782083,2.5715187,6.9499197,36.422718,24.868786,31.174742,0,0,0,0,2,1,0,1,4,0,0,0,0,0,0.5,0.25,0,0.25,0,-999
D2,rand,-0.47272727,0,3.1387212,1.0327841,2.2784293,30.721399,29.032034,29.85977,1,1,2,0,0,0,0,0,4,0,0.25,0.25,0.5,0,0,0,0,0,0,-999
D2,rand,-0.89999998,0,8.1901236,3.715179,5.6922097,40.490017,32.320801,36.170521,0,0,1,0,0,0,0,2,3,0,0,0,0.333333333,0,0,0,0,0.666666667,0,-999
D2,rand,-0.125,104,5.2765932,1.1189489,3.1634777,37.146587,34.667515,35.551392,2,0,2,0,0,1,0,0,5,0,0.4,0,0.4,0,0,0.2,0,0,0,0.24074766
D2,rand,-0.31874999,0,10.120691,1.4682047,6.9378734,38.940594,30.2124,34.659866,2,0,2,0,0,0,0,0,4,0,0.5,0,0.5,0,0,0,0,0,0,-999
D2,rand,-0.5714286,0,6.243433,2.1951177,4.0684824,39.541458,36.891449,37.98275,1,1,1,0,0,0,0,1,4,0,0.25,0.25,0.25,0,0,0,0,0.25,0,-999
D2,rand,-2.2566607,0,9.1101875,1.5311202,4.8535147,35.180256,27.930452,31.441601,3,0,0,0,2,0,0,0,5,0,0.6,0,0,0,0.4,0,0,0,0,-999
D2,rand,-1.15,3,8.5953102,1.6775279,4.9667578,34.426449,27.234291,31.965401,1,1,2,0,0,0,0,1,5,0,0.2,0.2,0.4,0,0,0,0,0.2,1,2.1466668
D2,rand,-1.3166667,0,22.658825,2.2045631,11.765593,46.484863,25.204935,34.46336,0,1,1,0,0,0,1,1,4,0,0,0.25,0.25,0,0,0,0.25,0.25,0,-999
D2,rand,-0.89999998,32,10.420138,2.4496388,5.6419382,36.141663,27.507626,31.949722,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0.95407408
D2,rand,-0.68333334,0,9.3487253,1.1017237,4.8865223,38.17207,32.336403,35.868649,2,1,0,0,0,0,0,1,4,0,0.5,0.25,0,0,0,0,0,0.25,0,-999
D2,rand,-2.4468658,0,8.887661,2.5067909,4.9114928,37.281189,32.482136,34.928772,3,0,0,0,0,0,1,1,5,0,0.6,0,0,0,0,0,0.2,0.2,0,-999
D2,rand,-3.5721719,0,17.481169,1.440974,10.427914,42.271751,28.351967,35.571384,3,0,0,0,1,0,0,1,5,0,0.6,0,0,0,0.2,0,0,0.2,0,-999
D2,rand,-2.693398,0,8.1807947,2.2272577,4.6191225,34.796776,27.930452,31.891228,2,0,0,0,2,0,0,1,5,0,0.4,0,0,0,0.4,0,0,0.2,0,-999
D2,rand,-0.16666667,0,#NAME?,Inf,NaN,33.317623,33.317623,33.317623,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-999
D2,rand,-0.67333335,0,11.581619,2.4496388,6.3150253,40.19783,30.793842,34.420174,1,1,2,0,0,0,1,0,5,0,0.2,0.2,0.4,0,0,0,0.2,0,0,-999
D2,rand,-1.1,0,10.321453,2.2342713,5.8912015,39.149208,29.297132,33.994743,0,1,2,0,0,0,0,2,5,0,0,0.2,0.4,0,0,0,0,0.4,0,-999
D2,rand,-2.5264871,0,2.647897,1.2135788,2.209044,36.284611,33.867203,34.974964,4,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,-999
D2,rand,-0.41249999,0,14.319151,4.77949,9.1540251,39.080784,28.532913,35.450184,2,0,1,0,0,0,0,1,4,0,0.5,0,0.25,0,0,0,0,0.25,0,-999
