,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
29805,1,11.888933,6.750735799999999,12.717523,7.5512571,9.6671715,5,0,-0.44999999,0.2,0.0,0.0,0.0,0.0,2
81170,0,14.706888000000001,9.200456599999999,12.328391,4.4842453,9.4165258,4,0,-0.38,0.5,0.0,0.0,0.0,0.0,2
52180,0,12.17338,10.460922,13.061775,3.8541884,7.2762402999999996,3,0,-1.0882353,0.333333333,0.333333333,0.0,0.0,0.0,2
3635,0,6.753261599999999,3.6522691,4.616141799999999,2.7986497999999997,4.1334486,5,0,-1.9662186000000001,0.0,0.2,0.6,0.0,0.0,1
108138,1,13.79074,8.4134274,10.826008999999999,3.6645102999999994,8.0974474,5,0,-0.35555556,0.8,0.0,0.0,0.0,0.0,2
113054,0,8.890377,6.544455999999999,6.2729301,1.3712525,3.6609383,3,1,-0.35384616,1.0,0.0,0.0,0.0,0.0,1
110602,0,2.517833,2.517833,6.2536302,4.6405587,5.4470944,2,1,-0.5625,1.0,0.0,0.0,0.0,0.0,1
55926,8,6.689074499999999,3.8956517999999996,10.440987,4.0544958,6.8791466,5,0,-3.5365953,0.4,0.2,0.2,0.0,0.0,1
46802,0,18.436968,11.687455,13.135993,5.783361,8.336030000000001,4,0,-1.8153824,0.25,0.0,0.25,0.0,0.25,2
60521,3,10.670288000000001,6.0599460999999994,7.0762229,2.6647372000000003,4.595090900000001,5,0,-0.6785714,0.4,0.2,0.0,0.0,0.0,1
68760,0,16.66754,11.274968,15.116542,5.5693316,10.388159,5,0,-1.16,0.4,0.0,0.0,0.0,0.0,2
92443,0,14.899246,9.8585911,10.873208,3.5597706,7.1035924,5,0,-2.8245256000000003,0.6,0.0,0.4,0.0,0.0,2
85510,23,8.0076542,4.099175,9.322278,4.745214,7.3249593,5,0,-0.47142857,0.6,0.2,0.0,0.0,0.0,0
54567,0,21.787354,15.423442000000001,14.017678,3.8541884,8.730383900000001,3,0,-0.25454545,0.333333333,0.0,0.0,0.0,0.0,2
18427,0,16.208455999999998,8.986745800000001,13.229956,5.7833452,9.7413778,5,0,-2.7997117,0.0,0.2,0.0,0.0,0.2,2
115219,3,14.673489000000002,6.7337217,10.924064,3.5299885000000004,5.5275316,5,1,-3.2230146,1.0,0.0,0.0,0.0,0.0,2
